GenPept accession,Phylum,Class
YP_009352882, Negarnaviricota, Insthoviricetes
YP_022751, Pisuviricota, Stelpaviricetes
YP_025082, Kitrinoviricota, Alsuviricetes
YP_025094, Kitrinoviricota, Alsuviricetes
YP_025106, Pisuviricota, Stelpaviricetes
YP_025107, Pisuviricota, Stelpaviricetes
YP_052849, Negarnaviricota, Monjiviricetes
YP_052856, Pisuviricota, Duplopiviricetes
YP_052858, Duplornaviricota, Chrymotiviricetes
YP_052925, Kitrinoviricota, Tolucaviricetes
YP_052942, Duplornaviricota, Resentoviricetes
YP_053236, Negarnaviricota, Milneviricetes
YP_054407, Kitrinoviricota, Alsuviricetes
YP_054423, Kitrinoviricota, Alsuviricetes
YP_077184, Lenarviricota, Howeltoviricetes
YP_077186, Pisuviricota, Pisoniviricetes
YP_081444, Pisuviricota, Pisoniviricetes
YP_086754, Pisuviricota, Duplopiviricetes
YP_089661, Negarnaviricota, Milneviricetes
YP_122352, Duplornaviricota, Chrymotiviricetes
YP_138510, Negarnaviricota, Monjiviricetes
YP_138519, Pisuviricota, Duplopiviricetes
YP_138537, Pisuviricota, Duplopiviricetes
YP_145794, Negarnaviricota, Insthoviricetes
YP_164258, Kitrinoviricota, Alsuviricetes
YP_164335, Pisuviricota, Pisoniviricetes
YP_164336, Pisuviricota, Pisoniviricetes
YP_164802, Kitrinoviricota, Alsuviricetes
YP_173335, Negarnaviricota, Monjiviricetes
YP_223920, Pisuviricota, Duplopiviricetes
YP_224077, Pisuviricota, Stelpaviricetes
